trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
879,False,"{'a': 0.5, 'e': 0.7750753443634235}",30,0,-67.62391083158496,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
880,False,"{'a': 0.5, 'e': 0.7745828834256877}",20,0,-19.31310221534731,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
881,False,"{'a': 0.5, 'e': 0.7740899524393239}",20,0,-33.731856178582305,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
882,False,"{'a': 0.5, 'e': 0.7735965517034632}",25,0,-71.77375605521296,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
883,False,"{'a': 0.5, 'e': 0.7731026815175212}",25,0,-46.875761520906394,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
884,False,"{'a': 0.5, 'e': 0.7726083421811984}",20,0,-59.72263357448577,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
885,False,"{'a': 0.5, 'e': 0.7721135339944806}",30,0,-259.3731554611354,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
886,False,"{'a': 0.5, 'e': 0.7716182572576372}",25,0,-33.873588709987054,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
887,False,"{'a': 0.5, 'e': 0.7711225122712226}",20,0,-50.71727957720674,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
888,False,"{'a': 0.5, 'e': 0.7706262993360754}",25,0,-188.8944025262631,"{0: 16, 1: 0, 2: 3, 3: 3, 4: 3}",0
889,False,"{'a': 0.5, 'e': 0.7701296187533176}",20,0,-107.15770418588247,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
890,False,"{'a': 0.5, 'e': 0.7696324708243555}",25,11,-81.64175351192287,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
891,False,"{'a': 0.5, 'e': 0.7691348558508787}",20,15,9.507970091794126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.5, 'e': 0.7686367741348606}",20,0,-40.4505908957595,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
893,False,"{'a': 0.5, 'e': 0.7681382259785574}",20,0,-77.24144622825744,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
894,False,"{'a': 0.5, 'e': 0.7676392116845084}",25,0,-44.044736524164726,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
895,False,"{'a': 0.5, 'e': 0.7671397315555363}",20,0,-57.69992844603641,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
896,False,"{'a': 0.5, 'e': 0.7666397858947459}",25,0,-139.5002102721997,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
897,False,"{'a': 0.5, 'e': 0.7661393750055246}",25,0,-37.68691866904671,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
898,False,"{'a': 0.5, 'e': 0.7656384991915425}",20,0,-111.87386315698011,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
899,False,"{'a': 0.5, 'e': 0.7651371587567513}",20,0,-72.36234219415996,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
900,False,"{'a': 0.5, 'e': 0.764635354005385}",30,0,-115.04560691646536,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
901,False,"{'a': 0.5, 'e': 0.7641330852419593}",25,0,-200.56410798686127,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
902,False,"{'a': 0.5, 'e': 0.7636303527712716}",20,0,-162.08556767402203,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
903,False,"{'a': 0.5, 'e': 0.7631271568984002}",25,0,-109.99559883743876,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
904,False,"{'a': 0.5, 'e': 0.7626234979287053}",20,2,-106.46452019537665,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 1}",1
905,False,"{'a': 0.5, 'e': 0.7621193761678278}",25,0,-188.14050256181963,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
